Totals & Averages,RECEIPTID,TENANTID,EMPLOYEEID,DCAMT,DRCPT,IRECEIPTNUM,PAYMENTID
,250823,1325,93,63,2010-04-05 14:56:56.017000,185,417943
,250835,1544,93,46,2010-04-05 15:08:27.017000,186,417957
,250846,1429,93,83,2010-04-05 15:18:24.860000,187,417969
,250854,1353,93,46,2010-04-05 15:23:07.827000,188,417978
,250880,1439,93,83,2010-04-05 15:49:22.470000,189,418031
,250882,1439,93,73,2010-04-05 15:50:14.970000,190,418034
,250883,1506,93,93,2010-04-05 15:52:28.907000,191,418035
,250895,1591,93,63,2010-04-05 16:10:24.470000,192,418049
,250950,1343,93,63,2010-04-05 16:58:18.983000,193,418118
,251176,1336,93,83,2010-04-06 14:05:59.077000,194,418421
,251177,1401,93,132,2010-04-06 14:07:26.687000,195,418422
,251178,1415,93,63,2010-04-06 14:08:25.297000,196,418423
,251179,122852,93,117,2010-04-06 14:09:40.877000,197,418424
,251182,1454,93,110,2010-04-06 14:12:29.127000,198,418436
,251182,1454,93,110,2010-04-06 14:12:29.127000,198,418437
,251196,1476,93,69,2010-04-06 14:35:17.907000,199,418466
,251225,1311,93,90,2010-04-06 16:35:13.767000,200,418518
,251226,1295,93,230,2010-04-06 16:36:39.017000,201,418519
,251228,1356,93,93,2010-04-06 16:38:19.703000,202,418521
,251230,1555,93,147,2010-04-06 16:39:45.437000,203,418525
,251342,19380,93,83,2010-04-06 21:25:48.203000,204,418718
,251342,19380,93,83,2010-04-06 21:25:48.203000,204,418719
,251343,19382,93,103,2010-04-06 21:35:47.110000,205,418720
,251343,19382,93,103,2010-04-06 21:35:47.110000,205,418721
,251347,1404,91,143,2010-04-07 08:44:57.593000,207,418732
,251348,1539,91,63,2010-04-07 08:45:41.860000,208,418733
,251349,1310,91,89,2010-04-07 08:46:19.750000,209,418734
,251350,1605,91,125,2010-04-07 08:47:02.313000,210,418735
,251351,1555,91,15,2010-04-07 08:54:14.563000,211,418736
,251352,1538,91,63,2010-04-07 08:59:41.547000,212,418737
,251354,1528,91,98,2010-04-07 09:02:20.640000,213,418739
,251354,1528,91,98,2010-04-07 09:02:20.640000,213,418740
,251366,19382,91,0,2010-04-07 10:03:39.077000,214,418759
,251370,19382,91,0,2010-04-07 10:05:42.063000,215,418763
,251371,19380,91,0,2010-04-07 10:07:19.593000,216,418764
,251436,19385,91,0,2010-04-07 13:12:17.780000,217,418864
,251436,19385,91,0,2010-04-07 13:12:17.780000,217,418865
,251456,1465,91,108,2010-04-07 14:20:16.297000,218,418891
,251456,1465,91,108,2010-04-07 14:20:16.297000,218,418892
,251494,1448,91,63,2010-04-07 16:45:03.630000,219,418945
,251495,1605,91,213,2010-04-07 16:45:51.630000,220,418946
,251584,1355,91,210,2010-04-08 08:44:50.943000,221,419093
,251584,1355,91,210,2010-04-08 08:44:50.943000,221,419094
,251589,1598,91,103,2010-04-08 09:04:17.100000,223,419102
,251600,19394,91,83,2010-04-08 09:42:05.507000,224,419115
,251600,19394,91,83,2010-04-08 09:42:05.507000,224,419118
,251609,1530,91,65,2010-04-08 10:35:04.867000,225,419131
,251609,1530,91,65,2010-04-08 10:35:04.867000,225,419132
,251615,1532,91,50,2010-04-08 11:23:15.583000,226,419150
,251646,1503,91,93,2010-04-08 13:28:57.630000,227,419197
,251658,1376,91,93,2010-04-08 14:05:57.317000,228,419211
,251659,1519,91,162,2010-04-08 14:10:06.990000,229,419212
,251659,1519,91,162,2010-04-08 14:10:06.990000,229,419213
,251664,1463,91,63,2010-04-08 14:23:40.867000,230,419229
,251665,1440,91,50,2010-04-08 14:24:52.647000,231,419230
,251666,1410,91,83,2010-04-08 14:25:50.163000,232,419231
,251668,1481,91,210,2010-04-08 14:35:33.647000,233,419232
,251668,1481,91,210,2010-04-08 14:35:33.647000,233,419233
,251689,1483,91,345,2010-04-08 15:18:40.287000,234,419262
,251689,1483,91,345,2010-04-08 15:18:40.287000,234,419263
,251689,1483,91,345,2010-04-08 15:18:40.287000,234,419264
,251689,1483,91,345,2010-04-08 15:18:40.287000,234,419265
,251715,1438,91,83,2010-04-08 16:25:34.317000,235,419307
,251722,1355,91,190,2010-04-08 16:44:00.067000,236,419316
,251730,1577,91,78,2010-04-08 16:54:49.507000,237,419329
,251730,1577,91,78,2010-04-08 16:54:49.507000,237,419330
,251819,1512,91,63,2010-04-09 10:00:24.520000,238,419499
,251824,1387,91,73,2010-04-09 10:46:04.817000,239,419506
,251825,1498,91,619,2010-04-09 10:47:37.897000,240,419507
,251825,1498,91,619,2010-04-09 10:47:37.897000,240,419508
,251825,1498,91,619,2010-04-09 10:47:37.897000,240,419509
,251825,1498,91,619,2010-04-09 10:47:37.897000,240,419510
,251825,1498,91,619,2010-04-09 10:47:37.897000,240,419511
,251825,1498,91,619,2010-04-09 10:47:37.897000,240,419512
,251827,1460,91,63,2010-04-09 10:58:17.270000,241,419514
,251843,1452,91,236,2010-04-09 12:01:35.990000,242,419539
,251843,1452,91,236,2010-04-09 12:01:35.990000,242,419540
,251843,1452,91,236,2010-04-09 12:01:35.990000,242,419541
,251843,1452,91,236,2010-04-09 12:01:35.990000,242,419542
,251843,1452,91,236,2010-04-09 12:01:35.990000,242,419543
,251875,19424,91,220,2010-04-09 13:41:48.317000,243,419580
,251875,19424,91,220,2010-04-09 13:41:48.317000,243,419586
,251884,1376,91,20,2010-04-09 14:12:36.007000,244,419602
,251887,1443,91,53,2010-04-09 14:17:41.397000,245,419606
,251909,1588,91,63,2010-04-09 15:22:25.193000,246,419648
,251922,1300,91,78,2010-04-09 16:05:29.990000,247,419664
,251922,1300,91,78,2010-04-09 16:05:29.990000,247,419665
,251929,1488,91,61,2010-04-09 16:17:31.317000,248,419678
,251929,1488,91,61,2010-04-09 16:17:31.317000,248,419679
,251949,1306,91,83,2010-04-09 17:04:09.757000,249,419708
,252007,1408,91,63,2010-04-10 08:37:31.723000,250,419780
,252008,1455,91,103,2010-04-10 08:39:45.443000,251,419781
,252011,1533,91,236,2010-04-10 09:13:57.380000,252,419786
,252011,1533,91,236,2010-04-10 09:13:57.380000,252,419787
,252011,1533,91,236,2010-04-10 09:13:57.380000,252,419788
,252011,1533,91,236,2010-04-10 09:13:57.380000,252,419789
,252011,1533,91,236,2010-04-10 09:13:57.380000,252,419790
,252011,1533,91,236,2010-04-10 09:13:57.380000,252,419791
,252028,1425,91,220,2010-04-10 10:37:37.317000,253,419815
,252028,1425,91,220,2010-04-10 10:37:37.317000,253,419816
,252028,1425,91,220,2010-04-10 10:37:37.317000,253,419817
,252028,1425,91,220,2010-04-10 10:37:37.317000,253,419818
,252028,1425,91,220,2010-04-10 10:37:37.317000,253,419819
,252038,1445,91,78,2010-04-10 11:18:41.520000,254,419839
,252038,1445,91,78,2010-04-10 11:18:41.520000,254,419840
,252041,1322,91,83,2010-04-10 11:23:16.880000,255,419844
,252042,1480,91,125,2010-04-10 11:25:54.490000,256,419845
,252074,19443,91,63,2010-04-10 12:52:36.020000,257,419902
,252074,19443,91,63,2010-04-10 12:52:36.020000,257,419903
,252080,1395,91,0,2010-04-10 13:01:17,258,419915
,252088,1517,91,5,2010-04-10 13:33:44.567000,259,419928
,252315,1457,94,63,2010-04-12 09:08:24.037000,260,420262
,252317,1340,94,309,2010-04-12 09:09:48.333000,261,420265
,252319,1360,94,93,2010-04-12 09:11:16.710000,262,420268
,252327,1378,94,85.5,2010-04-12 09:24:52.677000,263,420279
,252327,1378,94,85.5,2010-04-12 09:24:52.677000,263,420280
,252328,1420,94,63,2010-04-12 09:27:19.710000,264,420281
,252330,1347,94,47,2010-04-12 09:29:40.257000,265,420282
,252330,1347,94,47,2010-04-12 09:29:40.257000,265,420283
,252338,1340,94,103,2010-04-12 09:53:30.317000,266,420292
,252339,1340,94,103,2010-04-12 09:54:41.067000,267,420293
,252352,1489,94,78,2010-04-12 10:53:09.037000,268,420321
,252352,1489,94,78,2010-04-12 10:53:09.037000,268,420322
,252360,19464,94,83,2010-04-12 11:26:29.460000,269,420336
,252360,19464,94,83,2010-04-12 11:26:29.460000,269,420337
,252367,1482,94,375,2010-04-12 11:45:14.723000,270,420365
,252367,1482,94,375,2010-04-12 11:45:14.723000,270,420366
,252367,1482,94,375,2010-04-12 11:45:14.723000,270,420367
,252367,1482,94,375,2010-04-12 11:45:14.723000,270,420368
,252367,1482,94,375,2010-04-12 11:45:14.723000,270,420369
,252412,1572,93,83,2010-04-12 14:40:31.037000,271,420466
,252413,1350,93,46,2010-04-12 14:43:51.867000,272,420467
,252421,1370,93,50,2010-04-12 15:09:31.537000,273,420482
,252424,1382,93,125,2010-04-12 15:17:08.617000,274,420487
,252424,1382,93,125,2010-04-12 15:17:08.617000,274,420488
,252581,1333,91,63,2010-04-13 08:53:28.163000,275,420754
,252582,1436,91,83,2010-04-13 09:04:04.287000,276,420755
,252584,1395,91,0,2010-04-13 09:05:36,277,420757
